strategy,chunk_words,overlap_words,k,em,f1,em_percent,f1_percent
large,800,120,1,0.52,0.6655772791381367,52.0,66.55772791381366
large,800,120,2,0.57,0.7264707335148511,56.99999999999999,72.64707335148512
large,800,120,4,0.5,0.68573118711354,50.0,68.573118711354
medium,400,80,1,0.52,0.6655772791381367,52.0,66.55772791381366
medium,400,80,2,0.57,0.7264707335148511,56.99999999999999,72.64707335148512
medium,400,80,4,0.5,0.68573118711354,50.0,68.573118711354
small,200,50,1,0.51,0.660961894522752,51.0,66.0961894522752
small,200,50,2,0.56,0.7145564644505821,56.00000000000001,71.4556464450582
small,200,50,4,0.5,0.6825514697720579,50.0,68.2551469772058
